tier,name,category,requested_category,chaos_value,divine_value,listing_count,change_percent,source_endpoint,source
T0_JACKPOT,Ice Nova of Deep Freeze,SkillGem,SkillGem,48527.0,93.0,4,0,stash,poe.ninja
T0_JACKPOT,Awakened Enhance Support,SkillGem,SkillGem,46962.0,90.0,16,22.11,stash,poe.ninja
T0_JACKPOT,Companionship Support,SkillGem,SkillGem,44353.0,85.0,16,-11.29,stash,poe.ninja
T0_JACKPOT,Invert the Rules Support,SkillGem,SkillGem,44040.0,84.4,7,0,stash,poe.ninja
T0_JACKPOT,Unrequited Love,Cards,DivinationCard,42725.0,,1203431,12.79,exchange,poe.ninja
T0_JACKPOT,Ice Bite Support,SkillGem,SkillGem,42005.0,80.5,4,0.48,stash,poe.ninja
T0_JACKPOT,Herald of Purity,SkillGem,SkillGem,39396.0,75.5,2,0,stash,poe.ninja
T0_JACKPOT,Congregation Support,SkillGem,SkillGem,39135.0,75.0,2,4.06,stash,poe.ninja
T0_JACKPOT,Cast on Ward Break Support,SkillGem,SkillGem,38091.0,73.0,7,18.89,stash,poe.ninja
T0_JACKPOT,Animate Weapon of Ranged Arms,SkillGem,SkillGem,36526.0,70.0,41,0,stash,poe.ninja
T0_JACKPOT,Greater Multistrike Support,SkillGem,SkillGem,36526.0,70.0,25,66.52,stash,poe.ninja
T0_JACKPOT,Mirror Shard,Currency,Currency,35089.0,,385982,4.76,exchange,poe.ninja
T0_JACKPOT,Cast on Ward Break Support,SkillGem,SkillGem,34387.0,65.9,11,91.46,stash,poe.ninja
T0_JACKPOT,Inspiration Support,SkillGem,SkillGem,34178.0,65.5,4,0,stash,poe.ninja
T0_JACKPOT,Vaal Summon Skeletons,SkillGem,SkillGem,33917.0,65.0,4,0,stash,poe.ninja
T0_JACKPOT,Greater Fork Support,SkillGem,SkillGem,33395.0,64.0,13,-59.81,stash,poe.ninja
T0_JACKPOT,Greater Unleash Support,SkillGem,SkillGem,31099.0,59.6,7,112.8,stash,poe.ninja
T0_JACKPOT,Summon Ice Golem,SkillGem,SkillGem,30838.0,59.1,3,1.81,stash,poe.ninja
T0_JACKPOT,Vaal Lightning Strike,SkillGem,SkillGem,30786.0,59.0,3,0,stash,poe.ninja
T0_JACKPOT,Increased Critical Damage Support,SkillGem,SkillGem,30473.0,58.4,6,0,stash,poe.ninja
T0_JACKPOT,The Slumbering Beast,Cards,DivinationCard,29223.0,,131502,16.13,exchange,poe.ninja
T0_JACKPOT,Herald of Ash,SkillGem,SkillGem,29169.0,55.9,5,0.19,stash,poe.ninja
T0_JACKPOT,Doryani's Machinarium,UniqueMap,UniqueMap,27551.0,52.8,43,31.3,stash,poe.ninja
T0_JACKPOT,Vaal Reave,SkillGem,SkillGem,27394.0,52.5,8,32.7,stash,poe.ninja
T0_JACKPOT,Cooldown Recovery Support,SkillGem,SkillGem,26612.0,51.0,14,29.34,stash,poe.ninja
T0_JACKPOT,Reflecting Mist,Currency,Currency,26474.0,,330928,10.56,exchange,poe.ninja
T0_JACKPOT,Essence Drain of Wickedness,SkillGem,SkillGem,25568.0,49.0,4,0,stash,poe.ninja
T0_JACKPOT,Summon Lightning Golem,SkillGem,SkillGem,25359.0,48.6,5,0,stash,poe.ninja
T0_JACKPOT,Herald of Ice,SkillGem,SkillGem,25046.0,48.0,9,-10.06,stash,poe.ninja
T0_JACKPOT,Father's Love,Cards,DivinationCard,24613.0,,24613,29.22,exchange,poe.ninja
T0_JACKPOT,Summon Lightning Golem of Hordes,SkillGem,SkillGem,24525.0,47.0,33,0,stash,poe.ninja
T0_JACKPOT,Eclipse Support,SkillGem,SkillGem,24003.0,46.0,15,125.1,stash,poe.ninja
T0_JACKPOT,Vaal Ground Slam,SkillGem,SkillGem,23481.0,45.0,1,0,stash,poe.ninja
T0_JACKPOT,Cooldown Recovery Support,SkillGem,SkillGem,22698.0,43.5,9,33.04,stash,poe.ninja
T0_JACKPOT,Vaal Flicker Strike,SkillGem,SkillGem,21968.0,42.1,3,0,stash,poe.ninja
T0_JACKPOT,Raise Spectre,SkillGem,SkillGem,21916.0,42.0,2,0,stash,poe.ninja
T0_JACKPOT,Determination,SkillGem,SkillGem,21289.0,40.8,6,0,stash,poe.ninja
T0_JACKPOT,Arctic Armour,SkillGem,SkillGem,20872.0,40.0,3,0,stash,poe.ninja
T0_JACKPOT,Sigil of Power,SkillGem,SkillGem,20872.0,40.0,1,0,stash,poe.ninja
T0_JACKPOT,Tempest Shield,SkillGem,SkillGem,20872.0,40.0,4,0,stash,poe.ninja
T0_JACKPOT,Unholy Trinity Support,SkillGem,SkillGem,20872.0,40.0,3,-1.04,stash,poe.ninja
T0_JACKPOT,Ethereal Knives of Lingering Blades,SkillGem,SkillGem,20350.0,39.0,4,0,stash,poe.ninja
T0_JACKPOT,Eye of Winter of Transience,SkillGem,SkillGem,20350.0,39.0,20,0,stash,poe.ninja
T0_JACKPOT,Purity of Fire,SkillGem,SkillGem,19881.0,38.1,15,-83.81,stash,poe.ninja
T0_JACKPOT,Greater Spell Cascade Support,SkillGem,SkillGem,19828.0,38.0,9,-5.37,stash,poe.ninja
T0_JACKPOT,Minion Life Support,SkillGem,SkillGem,18785.0,36.0,12,-3.66,stash,poe.ninja
T0_JACKPOT,Animate Guardian of Smiting,SkillGem,SkillGem,18524.0,35.5,14,16.02,stash,poe.ninja
T0_JACKPOT,Vaal Temptation Support,SkillGem,SkillGem,18263.0,35.0,3,-16.62,stash,poe.ninja
T0_JACKPOT,Flesh and Stone,SkillGem,SkillGem,17741.0,34.0,1,0,stash,poe.ninja
T0_JACKPOT,Summon Ice Golem of Shattering,SkillGem,SkillGem,17741.0,34.0,8,0,stash,poe.ninja
T0_JACKPOT,Vaal Spark,SkillGem,SkillGem,17324.0,33.2,3,0,stash,poe.ninja
T0_JACKPOT,Automation,SkillGem,SkillGem,17272.0,33.1,8,9.47,stash,poe.ninja
T0_JACKPOT,Molten Strike,SkillGem,SkillGem,16698.0,32.0,4,0,stash,poe.ninja
T0_JACKPOT,Vaal Cyclone,SkillGem,SkillGem,16489.0,31.6,45,45324,stash,poe.ninja
T0_JACKPOT,Vaal Blade Vortex,SkillGem,SkillGem,16437.0,31.5,9,69.41,stash,poe.ninja
T0_JACKPOT,Vaal Arctic Armour,SkillGem,SkillGem,16176.0,31.0,4,0,stash,poe.ninja
T0_JACKPOT,Vaal Absolution,SkillGem,SkillGem,15654.0,30.0,7,38.89,stash,poe.ninja
T0_JACKPOT,Vaal Double Strike,SkillGem,SkillGem,15654.0,30.0,1,0,stash,poe.ninja
T0_JACKPOT,Vaal Haste,SkillGem,SkillGem,15654.0,30.0,12,14.11,stash,poe.ninja
T0_JACKPOT,Vaal Ice Nova,SkillGem,SkillGem,15654.0,30.0,5,0,stash,poe.ninja
T0_JACKPOT,Volatile Dead,SkillGem,SkillGem,15184.0,29.1,2,0,stash,poe.ninja
T0_JACKPOT,Omen of Fortune,Ancestor,Omen,14785.0,,22178,47.23,exchange,poe.ninja
T0_JACKPOT,Flicker Strike of Power,SkillGem,SkillGem,14610.0,28.0,17,-5.88,stash,poe.ninja
T0_JACKPOT,Greater Fork Support,SkillGem,SkillGem,14506.0,27.8,28,32.32,stash,poe.ninja
T0_JACKPOT,Eclipse Support,SkillGem,SkillGem,14402.0,27.6,64,55.07,stash,poe.ninja
T0_JACKPOT,Minion Pact Support,SkillGem,SkillGem,14350.0,27.5,15,11.68,stash,poe.ninja
T0_JACKPOT,Companionship Support,SkillGem,SkillGem,14089.0,27.0,18,16.48,stash,poe.ninja
T0_JACKPOT,Summon Flame Golem,SkillGem,SkillGem,13984.0,26.8,8,7.83,stash,poe.ninja
T0_JACKPOT,Vaal Reap,SkillGem,SkillGem,13306.0,25.5,10,29.2,stash,poe.ninja
T0_JACKPOT,Double Strike of Impaling,SkillGem,SkillGem,13149.0,25.2,47,0,stash,poe.ninja
T0_JACKPOT,Blood Rage,SkillGem,SkillGem,13045.0,25.0,3,0,stash,poe.ninja
T0_JACKPOT,Minion Pact Support,SkillGem,SkillGem,13045.0,25.0,23,25.77,stash,poe.ninja
T0_JACKPOT,Vaal Grace,SkillGem,SkillGem,12628.0,24.2,11,6.07,stash,poe.ninja
T0_JACKPOT,Greater Spell Echo Support,SkillGem,SkillGem,12575.0,24.1,8,16.71,stash,poe.ninja
T0_JACKPOT,Vaal Discipline,SkillGem,SkillGem,12575.0,24.1,7,0.58,stash,poe.ninja
T0_JACKPOT,Greater Spell Echo Support,SkillGem,SkillGem,12523.0,24.0,49,22.93,stash,poe.ninja
T0_JACKPOT,Phase Run,SkillGem,SkillGem,12523.0,24.0,6,0,stash,poe.ninja
T0_JACKPOT,Vaal Molten Shell,SkillGem,SkillGem,12523.0,24.0,10,33.66,stash,poe.ninja
T0_JACKPOT,Dash,SkillGem,SkillGem,12054.0,23.1,2,0,stash,poe.ninja
T0_JACKPOT,Greater Spell Echo Support,SkillGem,SkillGem,12001.0,23.0,19,44.87,stash,poe.ninja
T0_JACKPOT,Greater Spell Echo Support,SkillGem,SkillGem,12001.0,23.0,1,14.4,stash,poe.ninja
T0_JACKPOT,Malevolence,SkillGem,SkillGem,12001.0,23.0,5,-0.35,stash,poe.ninja
T0_JACKPOT,Greater Multistrike Support,SkillGem,SkillGem,11740.0,22.5,9,202.9,stash,poe.ninja
T0_JACKPOT,Greater Spell Echo Support,SkillGem,SkillGem,11532.0,22.1,7,-3.91,stash,poe.ninja
T0_JACKPOT,Immortal Call,SkillGem,SkillGem,11532.0,22.1,12,12.71,stash,poe.ninja
T0_JACKPOT,Companionship Support,SkillGem,SkillGem,11323.0,21.7,6,0,stash,poe.ninja
T0_JACKPOT,Companionship Support,SkillGem,SkillGem,11062.0,21.2,20,3.8,stash,poe.ninja
T0_JACKPOT,Vaal Righteous Fire,SkillGem,SkillGem,11062.0,21.2,19,-24.19,stash,poe.ninja
T0_JACKPOT,Companionship Support,SkillGem,SkillGem,10958.0,21.0,24,51.15,stash,poe.ninja
T0_JACKPOT,Greater Spell Echo Support,SkillGem,SkillGem,10958.0,21.0,62,32.09,stash,poe.ninja
T0_JACKPOT,Companionship Support,SkillGem,SkillGem,10801.0,20.7,60,5.62,stash,poe.ninja
T0_JACKPOT,The Price of Devotion,Cards,DivinationCard,10785.0,,10785,28.57,exchange,poe.ninja
T0_JACKPOT,Arcanist Brand,SkillGem,SkillGem,10697.0,20.5,8,-60.21,stash,poe.ninja
T0_JACKPOT,Greater Multistrike Support,SkillGem,SkillGem,10593.0,20.3,2,0,stash,poe.ninja
T0_JACKPOT,Zealotry,SkillGem,SkillGem,10593.0,20.3,12,44.35,stash,poe.ninja
T0_JACKPOT,Bladefall of Trarthus,SkillGem,SkillGem,10436.0,20.0,55,40.06,stash,poe.ninja
T0_JACKPOT,Companionship Support,SkillGem,SkillGem,10436.0,20.0,26,50.76,stash,poe.ninja
T0_JACKPOT,Herald of Thunder,SkillGem,SkillGem,10436.0,20.0,10,-20.68,stash,poe.ninja
T0_JACKPOT,Summon Stone Golem,SkillGem,SkillGem,10436.0,20.0,11,-21.99,stash,poe.ninja
T0_JACKPOT,Veiled Exalted Orb,Currency,Currency,10084.0,,62185,-17.48,exchange,poe.ninja
T0_JACKPOT,The Apothecary,Cards,DivinationCard,9923.0,,208385,32.94,exchange,poe.ninja
T0_JACKPOT,Vaal Smite,SkillGem,SkillGem,9914.0,19.0,28,-9.53,stash,poe.ninja
T0_JACKPOT,Contagion of Subsiding,SkillGem,SkillGem,9392.0,18.0,1,0,stash,poe.ninja
T0_JACKPOT,Vaal Smite,SkillGem,SkillGem,9392.0,18.0,35,461.5,stash,poe.ninja
T0_JACKPOT,Vitality,SkillGem,SkillGem,9392.0,18.0,4,0,stash,poe.ninja
T0_JACKPOT,War Banner,SkillGem,SkillGem,9392.0,18.0,5,0,stash,poe.ninja
T0_JACKPOT,The Immortal,Cards,DivinationCard,9006.0,,678468,18.49,exchange,poe.ninja
T0_JACKPOT,Greater Ancestral Call Support,SkillGem,SkillGem,8871.0,17.0,17,-8.57,stash,poe.ninja
T0_JACKPOT,Greater Multistrike Support,SkillGem,SkillGem,8349.0,16.0,8,19.88,stash,poe.ninja
T0_JACKPOT,Invert the Rules Support,SkillGem,SkillGem,8349.0,16.0,22,70.66,stash,poe.ninja
T0_JACKPOT,Void Shockwave Support,SkillGem,SkillGem,8349.0,16.0,5,0,stash,poe.ninja
T0_JACKPOT,Enfeeble,SkillGem,SkillGem,8244.0,15.8,3,19.33,stash,poe.ninja
T0_JACKPOT,Berserk,SkillGem,SkillGem,7984.0,15.3,5,-24.2,stash,poe.ninja
T0_JACKPOT,Storm Rain,SkillGem,SkillGem,7931.0,15.2,3,0,stash,poe.ninja
T0_JACKPOT,The Eye of Terror,Cards,DivinationCard,7827.0,,9132,1.35,exchange,poe.ninja
T0_JACKPOT,Cast on Ward Break Support,SkillGem,SkillGem,7827.0,15.0,14,21.9,stash,poe.ninja
T0_JACKPOT,Vaal Detonate Dead,SkillGem,SkillGem,7827.0,15.0,2,0,stash,poe.ninja
T0_JACKPOT,Greater Multistrike Support,SkillGem,SkillGem,7462.0,14.3,8,0,stash,poe.ninja
T0_JACKPOT,Cast on Ward Break Support,SkillGem,SkillGem,7305.0,14.0,15,13.89,stash,poe.ninja
T0_JACKPOT,Tornado,SkillGem,SkillGem,7305.0,14.0,3,0,stash,poe.ninja
T0_JACKPOT,Spirit Offering,SkillGem,SkillGem,7149.0,13.7,7,28.22,stash,poe.ninja
T0_JACKPOT,Greater Multistrike Support,SkillGem,SkillGem,6940.0,13.3,129,18.73,stash,poe.ninja
T0_JACKPOT,Greater Multistrike Support,SkillGem,SkillGem,6888.0,13.2,26,111.4,stash,poe.ninja
T0_JACKPOT,Eldritch Blasphemy Support,SkillGem,SkillGem,6783.0,13.0,14,8.28,stash,poe.ninja
T0_JACKPOT,Flame Link,SkillGem,SkillGem,6783.0,13.0,7,0,stash,poe.ninja
T0_JACKPOT,Flame Dash of Return,SkillGem,SkillGem,6679.0,12.8,16,-10.92,stash,poe.ninja
T0_JACKPOT,Cast on Ward Break Support,SkillGem,SkillGem,6522.0,12.5,24,5.92,stash,poe.ninja
T0_JACKPOT,Cast on Ward Break Support,SkillGem,SkillGem,6470.0,12.4,25,2.71,stash,poe.ninja
T0_JACKPOT,Greater Unleash Support,SkillGem,SkillGem,6470.0,12.4,36,32.59,stash,poe.ninja
T0_JACKPOT,Awakened Enlighten Support,SkillGem,SkillGem,6314.0,12.1,26,7.82,stash,poe.ninja
T0_JACKPOT,Awakened Enlighten Support,SkillGem,SkillGem,6262.0,12.0,7,0,stash,poe.ninja
T0_JACKPOT,Lancing Steel of Spraying,SkillGem,SkillGem,6262.0,12.0,39,7.84,stash,poe.ninja
T0_JACKPOT,Shield Charge,SkillGem,SkillGem,6262.0,12.0,18,-27.1,stash,poe.ninja
T0_JACKPOT,Vaal Lightning Arrow,SkillGem,SkillGem,6262.0,12.0,4,0,stash,poe.ninja
T0_JACKPOT,Void Shockwave Support,SkillGem,SkillGem,6262.0,12.0,23,28.31,stash,poe.ninja
T0_JACKPOT,Steelskin,SkillGem,SkillGem,6209.0,11.9,7,10.35,stash,poe.ninja
T0_JACKPOT,Greater Ancestral Call Support,SkillGem,SkillGem,5949.0,11.4,23,11.34,stash,poe.ninja
T0_JACKPOT,Greater Devour Support,SkillGem,SkillGem,5949.0,11.4,14,6.47,stash,poe.ninja
T0_JACKPOT,Cast on Ward Break Support,SkillGem,SkillGem,5844.0,11.2,4,0,stash,poe.ninja
T0_JACKPOT,Decoy Totem,SkillGem,SkillGem,5792.0,11.1,2,0,stash,poe.ninja
T0_JACKPOT,Assassin's Mark,SkillGem,SkillGem,5740.0,11.0,6,0,stash,poe.ninja
T0_JACKPOT,Summon Ice Golem of Hordes,SkillGem,SkillGem,5740.0,11.0,19,0,stash,poe.ninja
T0_JACKPOT,Scornful Herald Support,SkillGem,SkillGem,5635.0,10.8,19,8.94,stash,poe.ninja
T0_JACKPOT,Annihilation Support,SkillGem,SkillGem,5531.0,10.6,13,13.34,stash,poe.ninja
T0_JACKPOT,Bladefall of Trarthus,SkillGem,SkillGem,5531.0,10.6,6,0,stash,poe.ninja
T0_JACKPOT,Animate Guardian,SkillGem,SkillGem,5270.0,10.1,7,-9.21,stash,poe.ninja
T0_JACKPOT,Lucky Bastion,Cards,DivinationCard,5218.0,,2609,15.94,exchange,poe.ninja
T0_JACKPOT,Annihilation Support,SkillGem,SkillGem,5218.0,10.0,27,7.57,stash,poe.ninja
T0_JACKPOT,Armageddon Brand of Volatility,SkillGem,SkillGem,5218.0,10.0,26,1.13,stash,poe.ninja
T0_JACKPOT,Ball Lightning of Static,SkillGem,SkillGem,5218.0,10.0,11,6.77,stash,poe.ninja
T0_JACKPOT,Bladefall of Trarthus,SkillGem,SkillGem,5218.0,10.0,23,94.49,stash,poe.ninja
T0_JACKPOT,Bone Offering,SkillGem,SkillGem,5218.0,10.0,1,0,stash,poe.ninja
T0_JACKPOT,Cast on Ward Break Support,SkillGem,SkillGem,5218.0,10.0,81,-10.77,stash,poe.ninja
T0_JACKPOT,Cooldown Recovery Support,SkillGem,SkillGem,5218.0,10.0,4,33.49,stash,poe.ninja
T0_JACKPOT,Cyclone of Tumult,SkillGem,SkillGem,5218.0,10.0,11,-16.62,stash,poe.ninja
T0_JACKPOT,Ethereal Knives of the Massacre,SkillGem,SkillGem,5218.0,10.0,3,-13.47,stash,poe.ninja
T0_JACKPOT,Flame Dash,SkillGem,SkillGem,5218.0,10.0,6,-1.16,stash,poe.ninja
T0_JACKPOT,Frostblink of Wintry Blast,SkillGem,SkillGem,5218.0,10.0,11,13.7,stash,poe.ninja
T0_JACKPOT,Grace,SkillGem,SkillGem,5218.0,10.0,1,0,stash,poe.ninja
T0_JACKPOT,Greater Chain Support,SkillGem,SkillGem,5218.0,10.0,14,11.6,stash,poe.ninja
T0_JACKPOT,Greater Devour Support,SkillGem,SkillGem,5218.0,10.0,13,-10.48,stash,poe.ninja
T0_JACKPOT,Overloaded Intensity Support,SkillGem,SkillGem,5218.0,10.0,11,52.75,stash,poe.ninja
T0_JACKPOT,Overloaded Intensity Support,SkillGem,SkillGem,5218.0,10.0,22,52.75,stash,poe.ninja
T0_JACKPOT,Petrified Blood,SkillGem,SkillGem,5218.0,10.0,6,11.27,stash,poe.ninja
T0_JACKPOT,Purity of Lightning,SkillGem,SkillGem,5218.0,10.0,4,0,stash,poe.ninja
T0_JACKPOT,Unholy Trinity Support,SkillGem,SkillGem,5218.0,10.0,25,7.43,stash,poe.ninja
T0_JACKPOT,Vaal Animate Weapon,SkillGem,SkillGem,5218.0,10.0,1,0,stash,poe.ninja
T0_JACKPOT,Temporal Chains,SkillGem,SkillGem,5166.0,9.9,6,-11.62,stash,poe.ninja
T0_JACKPOT,Elemental Penetration Support,SkillGem,SkillGem,5009.0,9.6,23,4.49,stash,poe.ninja
T0_JACKPOT,Awakened Empower Support,SkillGem,SkillGem,4905.0,9.4,36,25.82,stash,poe.ninja
T0_JACKPOT,Eldritch Blasphemy Support,SkillGem,SkillGem,4905.0,9.4,30,12.49,stash,poe.ninja
T0_JACKPOT,Animate Guardian of Smiting,SkillGem,SkillGem,4853.0,9.3,26,66.49,stash,poe.ninja
T0_JACKPOT,Greater Spell Cascade Support,SkillGem,SkillGem,4748.0,9.1,22,-2.63,stash,poe.ninja
T0_JACKPOT,Autoexertion,SkillGem,SkillGem,4696.0,9.0,15,0,stash,poe.ninja
T0_JACKPOT,Frost Blades of Katabasis,SkillGem,SkillGem,4696.0,9.0,11,0,stash,poe.ninja
T0_JACKPOT,Hexpass Support,SkillGem,SkillGem,4696.0,9.0,11,8.35,stash,poe.ninja
T0_JACKPOT,Holy Hammers,SkillGem,SkillGem,4696.0,9.0,5,0,stash,poe.ninja
T0_JACKPOT,Icicle Mine of Fanning,SkillGem,SkillGem,4696.0,9.0,28,0,stash,poe.ninja
T0_JACKPOT,Vaal Temptation Support,SkillGem,SkillGem,4696.0,9.0,22,-12.37,stash,poe.ninja
T0_JACKPOT,Icicle Mine of Sabotage,SkillGem,SkillGem,4487.0,8.6,46,0,stash,poe.ninja
T0_JACKPOT,Static Strike of Gathering Lightning,SkillGem,SkillGem,4392.0,8.42,19,0,stash,poe.ninja
T0_JACKPOT,Frostblink of Wintry Blast,SkillGem,SkillGem,4383.0,8.4,13,28.72,stash,poe.ninja
T0_JACKPOT,Wave of Conviction of Trarthus,SkillGem,SkillGem,4383.0,8.4,7,0,stash,poe.ninja
T0_JACKPOT,Shattering Steel of Ammunition,SkillGem,SkillGem,4279.0,8.2,10,0,stash,poe.ninja
T0_JACKPOT,Charged Dash,SkillGem,SkillGem,4174.0,8.0,21,0,stash,poe.ninja
T0_JACKPOT,Elemental Penetration Support,SkillGem,SkillGem,4174.0,8.0,7,-6.32,stash,poe.ninja
T0_JACKPOT,Energy Blade,SkillGem,SkillGem,4174.0,8.0,10,0.1,stash,poe.ninja
T0_JACKPOT,Hexpass Support,SkillGem,SkillGem,4174.0,8.0,5,-20.74,stash,poe.ninja
T0_JACKPOT,Scornful Herald Support,SkillGem,SkillGem,4174.0,8.0,11,-4.39,stash,poe.ninja
T0_JACKPOT,Vaal Impurity of Ice,SkillGem,SkillGem,4174.0,8.0,3,0,stash,poe.ninja
T0_JACKPOT,Void Manipulation Support,SkillGem,SkillGem,4174.0,8.0,20,-25.06,stash,poe.ninja
T0_JACKPOT,Bloodsoaked Banner Support,SkillGem,SkillGem,4122.0,7.9,17,0,stash,poe.ninja
T0_JACKPOT,Contagion of Subsiding,SkillGem,SkillGem,4122.0,7.9,20,-56.8,stash,poe.ninja
T0_JACKPOT,Kinetic Blast of Clustering,SkillGem,SkillGem,4000.0,7.67,33,34.37,stash,poe.ninja
T0_JACKPOT,Congregation Support,SkillGem,SkillGem,3861.0,7.4,14,20.31,stash,poe.ninja
T0_JACKPOT,Spellslinger,SkillGem,SkillGem,3861.0,7.4,10,-7.46,stash,poe.ninja
T0_JACKPOT,Sunder,SkillGem,SkillGem,3861.0,7.4,7,5.39,stash,poe.ninja
T0_JACKPOT,Ethereal Knives of the Massacre,SkillGem,SkillGem,3833.0,7.34,58,0,stash,poe.ninja
T0_JACKPOT,Explosive Concoction of Destruction,SkillGem,SkillGem,3757.0,7.2,4,0,stash,poe.ninja
T0_JACKPOT,Ethereal Knives of the Massacre,SkillGem,SkillGem,3705.0,7.1,3,0,stash,poe.ninja
T0_JACKPOT,Galvanic Field,SkillGem,SkillGem,3675.0,7.04,8,0,stash,poe.ninja
T0_JACKPOT,Anger,SkillGem,SkillGem,3653.0,7.0,22,381.9,stash,poe.ninja
T0_JACKPOT,Ball Lightning of Static,SkillGem,SkillGem,3653.0,7.0,1,0,stash,poe.ninja
T0_JACKPOT,Blink Arrow,SkillGem,SkillGem,3653.0,7.0,3,0,stash,poe.ninja
T0_JACKPOT,Congregation Support,SkillGem,SkillGem,3653.0,7.0,10,25.31,stash,poe.ninja
T0_JACKPOT,Cyclone of Tumult,SkillGem,SkillGem,3653.0,7.0,74,6.75,stash,poe.ninja
T0_JACKPOT,Cyclone of Tumult,SkillGem,SkillGem,3653.0,7.0,2,0,stash,poe.ninja
T0_JACKPOT,Empower Support,SkillGem,SkillGem,3653.0,7.0,314,87.12,stash,poe.ninja
